CNN_classlist,mvco_northeastshelf_train_cfg_1.8,mvco_northeastshelf_train_cfg_1.7,mvco_northeastshelf_train_cfg_1.6,mvco_northeastshelf_train_cfg_1.5,mvco_northeastshelf_train_cfg_1.4,mvco_northeastshelf_train_cfg_1.3,toy_set,mvco_northeastshelf_train_cfg_1.2,mvco_northeastshelf_train_cfg_1.1,mvco_northeastshelf_train_cfg,all_train_cfg,HAB_train_cfg,minimal_list_cfg
square_unknown,1,1,1,1,1,1,0,1,1,1,1,1,1
Stenosemella_morphotype1,1,1,1,1,1,1,0,1,1,1,1,Tintinnida,Tintinnida
Stenosemella_pacifica,1,1,1,1,1,1,0,1,1,1,1,Tintinnida,Tintinnida
Stephanopyxis,1,1,1,1,1,1,0,1,1,1,1,1,1
Striatella,1,1,1,1,1,1,0,1,1,,,,
Strobilidium,Strobilidium,Strobilidium,Strobilidium,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strobilidium_morphotype1,Strobilidium,Strobilidium,Strobilidium,Strobilidium,Strobilidium,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_capitatum,Strombidium_morphotype1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_conicum,1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_inclinatum,Strombidium_morphotype1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_morphotype1,Strombidium_morphotype1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_morphotype2,1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_oculatum,Strombidium_morphotype1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Strombidium_wulffi,Strombidium_morphotype1,1,1,1,1,1,0,1,1,1,1,Strombidium_morphotype1,Strombidium_morphotype1
Syracosphaera_pulchra,1,1,1,1,1,1,0,1,1,1,1,1,1
Thalassionema,1,1,1,1,1,1,0,1,1,1,1,1,1
Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,0,Thalassiosira,1,1,1,1,1
Thalassiosira_TAG_external_detritus,1,1,1,1,1,1,0,1,1,1,1,1,1
Thalassiosira_sp_aff_mala,1,1,1,1,1,1,0,1,0,0,0,0,0
Thalassiosira_sp_aff_mala_Nov2018,0,0,0,0,1,0,0,0,0,0,0,0,0
Thalassiosira_sp_aff_mala_other,0,0,0,0,1,0,0,0,0,0,0,0,0
Thalassiosira_sp_aff_mala_single,0,0,0,0,1,0,0,0,0,0,0,0,0
Tiarina_fusus,1,1,1,1,1,1,0,1,1,1,1,1,1
Tintinnida,1,1,1,1,1,1,0,1,1,1,1,Tintinnida,1
Tintinnidium_mucicola,1,1,1,1,1,1,0,1,1,1,1,Tintinnida,Tintinnida
Tintinnopsis,1,1,1,1,1,1,0,1,1,1,1,Tintinnida,Tintinnida
Tontonia_appendiculariformis,1,1,1,1,1,1,0,1,1,1,1,1,ciliate
Tontonia_gracillima,1,1,1,1,1,1,0,1,1,1,1,1,ciliate
unknown1,Chaetoceros,Chaetoceros,Chaetoceros,1,1,1,0,1,1,1,1,1,1
unknown2,1,1,1,1,1,1,0,1,1,1,1,1,1
Vicicitus_globosus,1,1,1,1,1,1,0,1,1,1,1,1,1
Warnowia,1,1,1,1,1,1,0,1,1,1,1,1,Dinophyceae
zooplankton,1,1,1,1,1,1,0,1,1,1,1,1,1
fiber,1,1,1,1,1,1,0,1,1,0,0,0,0
fiber_TAG_external_detritus,1,1,1,1,1,1,0,1,1,0,0,0,0
Thalassiosira_rotula,Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,Thalassiosira,0,Thalassiosira,0,0,0,0,0
